MOF,water_resistance
str_m3_o14_o16_pcu_sym.244,0.6895296779112605
str_m3_o22_o22_pcu_sym.40,0.08939605936313408
str_m3_o4_o16_pcu_sym.143,0.9207723499887461
str_m3_o4_o17_pcu_sym.145,0.898536166361729
str_m3_o4_o22_pcu_sym.72,0.93251584956035
str_m3_o4_o5_pcu_sym.243,0.781620675909949
str_m3_o4_o9_pcu_sym.187,0.025979224653483686
str_m3_o1_o12_pcu_sym.96,0.33979274955553046
str_m2_o9_o19_pcu_sym.13,0.843218650349927
RSM4517,0.26817218833327244
str_m2_o10_o28_pcu_sym.57,0.9358559727641468
str_m2_o10_o26_pcu_sym.188,0.7662087123032395
str_m2_o10_o14_pcu_sym.22,0.9128693638420151
str_m2_o1_o9_pcu_sym.185,0.5704345896960377
str_m2_o1_o19_pcu_sym.61,0.8789642474561266
str_m2_o1_o17_pcu_sym.129,0.8812466357338061
RSM4599,0.86075882502648
str_m2_o9_o18_pcu_sym.31,0.38000935234976163
RSM4579,0.8727293241566061
RSM4565,0.37202736997010105
RSM4560,0.5375994274281438
RSM4556,0.9168901603194469
RSM4548,0.016994080530801283
str_m2_o10_o28_pcu_sym.58,0.8524317611271495
str_m2_o10_o29_pcu_sym.193,0.3472295118842279
str_m2_o10_o29_pcu_sym.238,0.7752282599489609
str_m2_o10_o29_pcu_sym.38,0.7334729778023868
str_m2_o10_o29_pcu_sym.64,0.8469237478718927
str_m2_o10_o29_pcu_sym.82,0.8788029552974179
str_m2_o13_o22_pcu_sym.93,0.9420344502012834
str_m2_o14_o14_pcu_sym.48,0.3048864345323466
str_m2_o14_o17_pcu_sym.222,0.8495091395416277
